name,id,machine_id,downtime_reason_name,end_timestamp,start_timestamp,productivity,classification,duration_seconds,shift,day_of_week,utilisation_category,timestamp
Mill 1,6826f660b88fa58d9a999518,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-05 06:00:00+01:00,2025-05-01 16:00:00+01:00,unproductive,OFFLINE,309600.0,DAY,THURSDAY,UNPRODUCTIVE OFFLINE,2025-05-01 16:00:00+01:00
Mill 1,6826f660b88fa58d9a999519,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-05 16:00:00+01:00,2025-05-05 06:00:00+01:00,productive,OFFLINE,36000.0,DAY,MONDAY,PRODUCTIVE OFFLINE,2025-05-05 06:00:00+01:00
Mill 1,6826f660b88fa58d9a99951a,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-05 18:00:00+01:00,2025-05-05 16:00:00+01:00,unproductive,OFFLINE,7200.0,DAY,MONDAY,UNPRODUCTIVE OFFLINE,2025-05-05 16:00:00+01:00
Mill 1,6826f660b88fa58d9a99951b,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-06 06:00:00+01:00,2025-05-05 18:00:00+01:00,productive,OFFLINE,43200.0,NIGHT,MONDAY,PRODUCTIVE OFFLINE,2025-05-05 18:00:00+01:00
Mill 1,6826f660b88fa58d9a99951c,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-06 16:00:00+01:00,2025-05-06 06:00:00+01:00,productive,OFFLINE,36000.0,DAY,TUESDAY,PRODUCTIVE OFFLINE,2025-05-06 06:00:00+01:00
Mill 1,6826f660b88fa58d9a99951d,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-06 18:00:00+01:00,2025-05-06 16:00:00+01:00,unproductive,OFFLINE,7200.0,DAY,TUESDAY,UNPRODUCTIVE OFFLINE,2025-05-06 16:00:00+01:00
Mill 1,6826f660b88fa58d9a99951e,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-07 06:00:00+01:00,2025-05-06 18:00:00+01:00,productive,OFFLINE,43200.0,NIGHT,TUESDAY,PRODUCTIVE OFFLINE,2025-05-06 18:00:00+01:00
Mill 1,6826f660b88fa58d9a99951f,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-07 16:00:00+01:00,2025-05-07 06:00:00+01:00,productive,OFFLINE,36000.0,DAY,WEDNESDAY,PRODUCTIVE OFFLINE,2025-05-07 06:00:00+01:00
Mill 1,6826f660b88fa58d9a999520,6809f67ffc54c40ff1b489cf,Not On Shift,2025-05-07 18:00:00+01:00,2025-05-07 16:00:00+01:00,unproductive,OFFLINE,7200.0,DAY,WEDNESDAY,UNPRODUCTIVE OFFLINE,2025-05-07 16:00:00+01:00
Mill 1,6826f660b88fa58d9a999521,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-08 06:00:00+01:00,2025-05-07 18:00:00+01:00,productive,OFFLINE,43200.0,NIGHT,WEDNESDAY,PRODUCTIVE OFFLINE,2025-05-07 18:00:00+01:00
