name,id,machine_id,downtime_reason_name,end_timestamp,start_timestamp,productivity,classification,duration_seconds,shift,day_of_week,utilisation_category
Mill 1,6826f660b88fa58d9a999519,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-05 15:00:00+00:00,2025-05-05 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,MONDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a99951b,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-06 05:00:00+00:00,2025-05-05 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,MONDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a99951c,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-06 15:00:00+00:00,2025-05-06 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,TUESDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a99951e,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-07 05:00:00+00:00,2025-05-06 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,TUESDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a99951f,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-07 15:00:00+00:00,2025-05-07 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,WEDNESDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a999521,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-08 05:00:00+00:00,2025-05-07 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,WEDNESDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a999522,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-08 15:00:00+00:00,2025-05-08 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,THURSDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a999524,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-12 15:00:00+00:00,2025-05-12 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,MONDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a999526,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-13 05:00:00+00:00,2025-05-12 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,MONDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a999527,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-13 15:00:00+00:00,2025-05-13 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,TUESDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a999529,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-14 05:00:00+00:00,2025-05-13 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,TUESDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a99952a,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-14 15:00:00+00:00,2025-05-14 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,WEDNESDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a99952c,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-15 05:00:00+00:00,2025-05-14 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,WEDNESDAY,PRODUCTIVE OFFLINE
Mill 1,6826f660b88fa58d9a99952d,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-15 15:00:00+00:00,2025-05-15 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,THURSDAY,PRODUCTIVE OFFLINE
Mill 1,682abaff5d87eb9853ae9913,6809f67ffc54c40ff1b489cf,No Operator,2025-05-19 05:36:05.430000+00:00,2025-05-19 05:00:00+00:00,unproductive,DOWNTIME,2165.43,NIGHT,MONDAY,UNPRODUCTIVE DOWNTIME
Mill 1,682ac3815d87eb9853aeabb6,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 05:50:45.430000+00:00,2025-05-19 05:36:05.430000+00:00,productive,UPTIME,880.0,NIGHT,MONDAY,PRODUCTIVE UPTIME
Mill 1,682ac6dc5d87eb9853aeafae,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 05:57:20.430000+00:00,2025-05-19 05:50:45.430000+00:00,productive,DOWNTIME,395.0,NIGHT,MONDAY,PRODUCTIVE DOWNTIME
Mill 1,682ac8785d87eb9853aeb17f,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 06:10:48.430000+00:00,2025-05-19 05:57:20.430000+00:00,productive,UPTIME,808.0,NIGHT,MONDAY,PRODUCTIVE UPTIME
Mill 1,682acb905d87eb9853aeb454,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 06:22:26.430000+00:00,2025-05-19 06:10:48.430000+00:00,productive,DOWNTIME,698.0,DAY,MONDAY,PRODUCTIVE DOWNTIME
Mill 1,682ace4e5d87eb9853aeb67a,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 07:00:18.430000+00:00,2025-05-19 06:22:26.430000+00:00,productive,UPTIME,2272.0,DAY,MONDAY,PRODUCTIVE UPTIME
Mill 1,682ad7335d87eb9853aec022,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 07:09:32.430000+00:00,2025-05-19 07:00:18.430000+00:00,productive,DOWNTIME,554.0,DAY,MONDAY,PRODUCTIVE DOWNTIME
Mill 1,682ad9695d87eb9853aec24f,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 07:50:24.430000+00:00,2025-05-19 07:09:32.430000+00:00,productive,UPTIME,2452.0,DAY,MONDAY,PRODUCTIVE UPTIME
Mill 1,682ae3025d87eb9853aecb73,6809f67ffc54c40ff1b489cf,Housekeeping,2025-05-19 07:51:29.430000+00:00,2025-05-19 07:50:24.430000+00:00,unproductive,DOWNTIME,65.0,DAY,MONDAY,UNPRODUCTIVE DOWNTIME
Mill 1,682ae3345d87eb9853aecb99,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 07:54:47.430000+00:00,2025-05-19 07:51:29.430000+00:00,productive,UPTIME,198.0,DAY,MONDAY,PRODUCTIVE UPTIME
Mill 1,682ae3ed5d87eb9853aecc7b,6809f67ffc54c40ff1b489cf,Coil Change,2025-05-19 08:04:11.430000+00:00,2025-05-19 07:54:47.430000+00:00,productive,DOWNTIME,564.0,DAY,MONDAY,PRODUCTIVE DOWNTIME
Mill 1,682ae6415d87eb9853aecef6,6809f67ffc54c40ff1b489cf,No Reason Required,2025-05-19 08:47:44.430000+00:00,2025-05-19 08:04:11.430000+00:00,productive,UPTIME,2613.0,DAY,MONDAY,PRODUCTIVE UPTIME
