name,id,machine_id,downtime_reason_name,end_timestamp,start_timestamp,productivity,classification,duration_seconds,shift,day_of_week,utilisation_category
Mill 2,68271145b88fa58d9a99afc1,6809f8df20e024b627b489eb,No Reason Required,2025-05-05 15:00:00+00:00,2025-05-05 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,MONDAY,PRODUCTIVE OFFLINE
Mill 2,68271145b88fa58d9a99afc3,6809f8df20e024b627b489eb,No Reason Required,2025-05-06 05:00:00+00:00,2025-05-05 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,MONDAY,PRODUCTIVE OFFLINE
Mill 2,68271145b88fa58d9a99afc4,6809f8df20e024b627b489eb,No Reason Required,2025-05-06 15:00:00+00:00,2025-05-06 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,TUESDAY,PRODUCTIVE OFFLINE
Mill 2,68271145b88fa58d9a99afc6,6809f8df20e024b627b489eb,No Reason Required,2025-05-07 05:00:00+00:00,2025-05-06 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,TUESDAY,PRODUCTIVE OFFLINE
Mill 2,68271145b88fa58d9a99afc7,6809f8df20e024b627b489eb,No Reason Required,2025-05-07 15:00:00+00:00,2025-05-07 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,WEDNESDAY,PRODUCTIVE OFFLINE
Mill 2,68271145b88fa58d9a99afc9,6809f8df20e024b627b489eb,No Reason Required,2025-05-08 05:00:00+00:00,2025-05-07 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,WEDNESDAY,PRODUCTIVE OFFLINE
Mill 2,68271145b88fa58d9a99afca,6809f8df20e024b627b489eb,No Reason Required,2025-05-08 15:00:00+00:00,2025-05-08 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,THURSDAY,PRODUCTIVE OFFLINE
Mill 2,68271145b88fa58d9a99afcc,6809f8df20e024b627b489eb,No Reason Required,2025-05-12 15:00:00+00:00,2025-05-12 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,MONDAY,PRODUCTIVE OFFLINE
Mill 2,68271145b88fa58d9a99afce,6809f8df20e024b627b489eb,No Reason Required,2025-05-13 05:00:00+00:00,2025-05-12 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,MONDAY,PRODUCTIVE OFFLINE
Mill 2,68271145b88fa58d9a99afcf,6809f8df20e024b627b489eb,No Reason Required,2025-05-13 15:00:00+00:00,2025-05-13 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,TUESDAY,PRODUCTIVE OFFLINE
