name,id,machine_id,downtime_reason_name,end_timestamp,start_timestamp,productivity,classification,duration_seconds,shift,day_of_week,utilisation_category
Mill 3,68270868b88fa58d9a99a490,6809f8df20e024b627b489ed,No Reason Required,2025-05-05 15:00:00+00:00,2025-05-05 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,MONDAY,PRODUCTIVE OFFLINE
Mill 3,68270868b88fa58d9a99a492,6809f8df20e024b627b489ed,No Reason Required,2025-05-06 05:00:00+00:00,2025-05-05 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,MONDAY,PRODUCTIVE OFFLINE
Mill 3,68270868b88fa58d9a99a493,6809f8df20e024b627b489ed,No Reason Required,2025-05-06 15:00:00+00:00,2025-05-06 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,TUESDAY,PRODUCTIVE OFFLINE
Mill 3,68270868b88fa58d9a99a495,6809f8df20e024b627b489ed,No Reason Required,2025-05-07 05:00:00+00:00,2025-05-06 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,TUESDAY,PRODUCTIVE OFFLINE
Mill 3,68270868b88fa58d9a99a496,6809f8df20e024b627b489ed,No Reason Required,2025-05-07 15:00:00+00:00,2025-05-07 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,WEDNESDAY,PRODUCTIVE OFFLINE
Mill 3,68270868b88fa58d9a99a498,6809f8df20e024b627b489ed,No Reason Required,2025-05-08 05:00:00+00:00,2025-05-07 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,WEDNESDAY,PRODUCTIVE OFFLINE
Mill 3,68270868b88fa58d9a99a499,6809f8df20e024b627b489ed,No Reason Required,2025-05-08 15:00:00+00:00,2025-05-08 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,THURSDAY,PRODUCTIVE OFFLINE
Mill 3,68270868b88fa58d9a99a49b,6809f8df20e024b627b489ed,No Reason Required,2025-05-12 15:00:00+00:00,2025-05-12 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,MONDAY,PRODUCTIVE OFFLINE
Mill 3,68270868b88fa58d9a99a49d,6809f8df20e024b627b489ed,No Reason Required,2025-05-13 05:00:00+00:00,2025-05-12 17:00:00+00:00,productive,OFFLINE,43200.0,DAY,MONDAY,PRODUCTIVE OFFLINE
Mill 3,68270868b88fa58d9a99a49e,6809f8df20e024b627b489ed,No Reason Required,2025-05-13 15:00:00+00:00,2025-05-13 05:00:00+00:00,productive,OFFLINE,36000.0,NIGHT,TUESDAY,PRODUCTIVE OFFLINE
