GROUP,STOCK CODE,DESCRIPTION,DESCRIPTION2,SUPP PART NO,ORDER NO,OUR REF,SUPP REF,SUPP NAME,DEPOT,DEL DATE,ORDER QTY,TO DELIV,RECVD,INVCD,QTY CST VAL,TO DELIV CST VAL,RECVD CST VAL,INVCD CST VAL,EXCH RATE,FOREIGN CURR
BRA,HEXBOLT16100BZP,hexhead bolt 16x100 bzp,hexhead bolt 16x100 bzp,,7095,25CHR1007F-5,HAI003,haining hifasters industrial co ltd,WB,11/08/2025,,268,268,0,0,35.22,35.22,0.00,0.00,0.00
BRA,HEXBOLT16100BZP,hexhead bolt 16x100 bzp,hexhead bolt 16x100 bzp,,7241,24CHR1069F-9 REXEL/4301694,HAI003,haining hifasters industrial co ltd,WB,05/09/2025,,1216,1216,0,0,159.78,159.78,0.00,0.00,0.00
BRA,HEXBOLT16110BZP,hexhead bolt 16x110 bzp,hexhead bolt 16x110 bzp,,7095,25CHR1007F-5,HAI003,haining hifasters industrial co ltd,WB,11/08/2025,,400,400,0,0,57.08,57.08,0.00,0.00,0.00
BRA,HEXBOLT16110BZP,hexhead bolt 16x110 bzp,hexhead bolt 16x110 bzp,,7241,24CHR1069F-9 REXEL/4301694,HAI003,haining hifasters industrial co ltd,WB,05/09/2025,,520,520,0,0,74.20,74.20,0.00,0.00,0.00
BRA,HEXBOLT1650BZP,hexhead bolt 16x50 bzp,hexhead bolt 16x50 bzp,,7095,25CHR1007F-5,HAI003,haining hifasters industrial co ltd,WB,11/08/2025,,782,782,0,0,59.12,59.12,0.00,0.00,0.00
BRA,HEXBOLT1665BZP,hex head bolt 16x65 bzp,hex head bolt 16x65 bzp,,7241,24CHR1069F-9 REXEL/4301694,HAI003,haining hifasters industrial co ltd,WB,05/09/2025,,1235,1235,0,0,116.09,116.09,0.00,0.00,0.00
BRA,HEXBOLT1690BZP,hex head bolt 16x90 bzp,hex head bolt 16x90 bzp,,7241,24CHR1069F-9 REXEL/4301694,HAI003,haining hifasters industrial co ltd,WB,05/09/2025,,1210,1210,0,0,146.05,146.05,0.00,0.00,0.00
BRA,HEXBOLT20200BZP,hexhead bolt 20x200 bzp,hexhead bolt 20x200 bzp,,7095,25CHR1007F-5,HAI003,haining hifasters industrial co ltd,WB,11/08/2025,,57,57,0,0,21.91,21.91,0.00,0.00,0.00
BRA,HEXBOLT20200BZP,hexhead bolt 20x200 bzp,hexhead bolt 20x200 bzp,,7241,24CHR1069F-9 REXEL/4301694,HAI003,haining hifasters industrial co ltd,WB,05/09/2025,,56,56,0,0,21.19,21.19,0.00,0.00,0.00
BRA,HEXBOLT2070,hex head bolt 20x70 BZP,hex head bolt 20x70 BZP,,7241,24CHR1069F-9 REXEL/4301694,HAI003,haining hifasters industrial co ltd,WB,05/09/2025,,197,197,0,0,31.64,31.64,0.00,0.00,0.00
BRA,HEXBOLT2085BZP,hexhead bolt 20x85 bzp,hexhead bolt 20x85 bzp,,7095,25CHR1007F-5,HAI003,haining hifasters industrial co ltd,WB,11/08/2025,,417,417,0,0,78.69,78.69,0.00,0.00,0.00
BRA,HEXBOLT2090BZP,hexhead bolt 20x90 bzp,hexhead bolt 20x90 bzp,,7095,25CHR1007F-5,HAI003,haining hifasters industrial co ltd,WB,11/08/2025,,213,213,0,0,41.96,41.96,0.00,0.00,0.00
BRA,HEXBOLT2090BZP,hexhead bolt 20x90 bzp,hexhead bolt 20x90 bzp,,7241,24CHR1069F-9 REXEL/4301694,HAI003,haining hifasters industrial co ltd,WB,05/09/2025,,300,300,0,0,58.23,58.23,0.00,0.00,0.00
BRA,HEXBOLT2465BZP,hexhead bolt 24x65 bzp,hexhead bolt 24x65 bzp,,7095,25CHR1007F-5,HAI003,haining hifasters industrial co ltd,WB,11/08/2025,,200,200,0,0,45.08,45.08,0.00,0.00,0.00
BRA,HEXS1645,M16X45 HEX SETSCREW (50) BZP,M16X45 HEX SETSCREW (50) BZP,DIN933,7095,25CHR1007F-5,HAI003,haining hifasters industrial co ltd,WB,11/08/2025,,29,29,0,0,96.70,96.70,0.00,0.00,0.00
BRA,HEXS2050,M20X50 HEX SETSCREW (100) BZP,M20X50 HEX SETSCREW (100) BZP,DIN933,7241,24CHR1069F-9 REXEL/4301694,HAI003,haining hifasters industrial co ltd,WB,05/09/2025,,5,5,0,0,6.12,6.12,0.00,0.00,0.00
